Barcelona coach Gerardo Martino has backed Xavi to be an "absolute reference" for the club after being confirmed as their new first team manager. The 41-year-old Argentine was appointed at the Nou Camp on Thursday and he will succeed Tata Martino, who

Xavi is a legend at Barcelona - his name has become synonymous with the Catalan club where he started out as a player and ended it too. He made 771 appearances for the Blaugrana between 1998-2015 and was instrumental in leading them to many

Xavi is one of the most talented players that Barcelona have ever produced, but his time with the club came to a premature end when he left for Qatar in the summer of 2015. It's been almost two years since Xavi announced his decision t

The first person to follow Xavi Hernandez on Twitter was... Cristiano Ronaldo! The Barcelona midfielder, who is now a free agent, joined social media just over a year ago and has more than 1.6 million followers, but the Portugal international wa

Xavier 'Xavi' Hernandez is arguably one of the greatest players in Barcelona's history. A true master of midfield, he won almost everything there was to win during his illustrious career at the Camp Nou . The Spaniard is one o

Xavi and Iniesta have been compared by many pundits but for me they were completely different players. Xavi had a good range of passing and was probably the best midfielder in La Liga, he played with such precision and c

The Barcelona legend Xavier 'Xavi' Hernandez has agreed to join Qatar SC on a two-year contract after his release from FC Barcelona last summer. The 35-year-old Spaniard who was signed by the club for 17 million euros in the summe

A few years ago, I asked Xavi what he would like to be remembered for and he said: "My name." That's the best answer you can give. The fact that it's his last season at Barcelona is a great thing. He's goi

Xavier Hernandez, commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier 'Xavi' Hernandez is one of the most talented players ever produced by Spain's La Liga powerhouse FC Barcelona . A defensive midfielder, Xavi led his team to many titles and was instrumental in their success over the years . In fact, he has been c

Barcelona have officially confirmed the signing of Xavi Hernandez. The 35-year-old Spaniard has signed a two-year contract with the Catalan club, after the Barcelona legend left for Qatar SC last summer . With this move, it is clear that Xavi will n

Xavier 'Xavi' Hernandez, commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has had a distinguished career to date. He i

Xavier Hernandez commonly known as Xavi or Xavi, is a Spanish football player who was born on 20th January 1980 in Terrassa, Barcelona . He has been playing professional football since he was just 15 and has
