It was just sitting there on one of the shelves. Didn't look like anybody had touched it lately, either. I picked up the book and looked around to make sure no one would see me do it, then checked out. I couldn't resist. What can you say? It's a tough job, but someone has to do it.

I couldn't put it down once I got started. You should check it out yourself .

### Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn .     I checked it out of the rental library . It only costs five cents a day .    Is it really worth paying for ?

Output: What's that book you have under your arm ?   It's the best seller everyone's been talking about for the last six months .    How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting
