
| Label | Prediction | Comments |
| --- | --- | --- |
| 1 | 𝒞(𝑘,𝐶) = 2.649085e-37 &amp; 𝒟(𝑘,𝐶) = 2.649085e-37 | 𝒞 and 𝒟 are the same for this case. |
| 2 | 𝒞(𝑘,𝐶) = -1.943229 &amp; 𝒟(𝑘,𝐶) = 0 | This is the only one where the probability and the likelihood are not equal. I think this happened because of how I calculated it: I did 𝒞(𝑘,𝐶)/𝐵 and then took the reciprocal to get 𝒟(𝑘,𝐶). However, this was incorrect. I should have done 𝑖(𝑘)/𝑛 instead. |
| 3 | 𝒞(𝑘,𝐶) = -2.604178e-37 &amp; 𝒟(𝑘,𝐶) = -9.939714e-35 | 𝒞 and 𝒟 are different in this case. The probability is higher than the likelihood by quite a bit, which surprised me. This may be because of rounding errors when I calculated them. |
| 4 | 𝒞(𝑘,𝐶) = -2.793150e-38 &amp; 𝒟(𝑘,𝐶) = -6.178396e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 5 | 𝒞(𝑘,𝐶) = -2.796148e-38 &amp; 𝒟(𝑘,𝐶) = -5.308408e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 6 | 𝒞(𝑘,𝐶) = -2.814077e-39 &amp; 𝒟(𝑘,𝐶) = -5.082807e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 7 | 𝒞(𝑘,𝐶) = -2.819005e-39 &amp; 𝒟(𝑘,𝐶) = -4.676691e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 8 | 𝒞(𝑘,𝐶) = -2.819071e-39 &amp; 𝒟(𝑘,𝐶) = -4.650697e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 9 | 𝒞(𝑘,𝐶) = -2.817857e-39 &amp; 𝒟(𝑘,𝐶) = -4.639402e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 10 | 𝒞(𝑘,𝐶) = -2.829237e-39 &amp; 𝒟(𝑘,𝐶) = -4.536864e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 11 | 𝒞(𝑘,𝐶) = -2.847445e-39 &amp; 𝒟(𝑘,𝐶) = -3.596909e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 12 | 𝒞(𝑘,𝐶) = -2.854747e-39 &amp; 𝒟(𝑘,𝐶) = -2.726390e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 13 | 𝒞(𝑘,𝐶) = -2.871945e-39 &amp; 𝒟(𝑘,𝐶) = -1.369064e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 14 | 𝒞(𝑘,𝐶) = -2.876090e-39 &amp; 𝒟(𝑘,𝐶) = -1.296554e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 15 | 𝒞(𝑘,𝐶) = -2.878417e-39 &amp; 𝒟(𝑘,𝐶) = -1.262022e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 16 | 𝒞(𝑘,𝐶) = -2.879026e-39 &amp; 𝒟(𝑘,𝐶) = -1.252496e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 17 | 𝒞(𝑘,𝐶) = -2.891563e-39 &amp; 𝒟(𝑘,𝐶) = -1.054280e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 18 | 𝒞(𝑘,𝐶) = -2.892603e-39 &amp; 𝒟(𝑘,𝐶) = -9.722646e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 19 | 𝒞(𝑘,𝐶) = -2.894605e-39 &amp; 𝒟(𝑘,𝐶) = -6.334137e-35 | I've checked and made sure that everything is the same as it was in 3 except that I didn't round my numbers for some reason this time! |
| 20 | 
