
##### Deep-sea vent worms
[![IMAGE ALT TEXT HERE](https://img.youtube.com/vi/Q9J1KxW_bI0/hqdefault.jpg)](https://www.youtube.com/watch?v=Q9J1KxW_bI0)

* [link to video](https://www.youtube.com/watch?v=Q9J1KxW_bI0)

##### Hydrothermal vents
[![IMAGE ALT TEXT HERE](https://img.youtube.com/vi/X5e-rPzpjS8/hqdefault.jpg)](https://www.youtube.com/watch?v=X5e-rPzpjS8)

* [link to video](https://www.youtube.com/watch?v=X5e-rPzpjS8)

##### Nasa's Alien Worlds: Deep, Dark & Deadly (Part 1)
[![IMAGE ALT TEXT HERE](https://img.youtube.com/vi/37Z4NbXkA_I/hqdefault.jpg)](https://www.youtube.com/watch?v=37Z4NbXkA_I)

* [link to video](https://www.youtube.com/watch?v=37Z4NbXkA_I)

##### Nasa's Alien Worlds: Deep, Dark & Deadly (Part 2)
[![IMAGE ALT TEXT HERE](https://img.youtube.com/vi/KY8L6FhUJf0/hqdefault.jpg)](https://www.youtube.com/watch?v=KY8L6FhUJf0)

* [link to video](https://www.youtube.com/watch?v=KY8L6FhUJf0)
