I'm not sure what the point is here. Is it to make fun of women? I don't think so. It seems to me that the reason this article was written is because the writer wanted to call attention to the fact that there are people who do horrible things and get away with them, while others have their lives ruined for much smaller offenses.

### Justification:
The writer of this article seems to be trying to make a point about how society treats different types of criminals differently. The person in the mugshot is clearly guilty of something, but she gets less punishment than someone who was caught with marijuana or DUI. The writer also points out that women get more attention for their crimes because they are seen as being more dangerous than men.

### Conclusion:
In my opinion, this article isn't meant to be funny at all. It's just meant to call attention to a problem in our society where certain types of criminals are treated differently than others. If you want to make fun of women who commit crimes, then maybe look for another topic to write about?

### Citation:
"Why Are Women More Likely To Get Away With Crimes Than Men?" by Daily Mail Reporter. Published on January 10th, 2014 at 7:33 PM EST and updated on January 11th at 9:40 AM EST. Accessed on October 18th, 2020 at 5:16 PM PDT. https://www.dailymail.co.uk/news/article-2536575/Why-women-likely-get-away-men-crimes-mugshots-prove-wronged-female-criminals-get-lenient-sentences-harder-offenses.html

### Related:

"Women Who Commit Crimes Are Less Likely To Get Away With Them Than Men" by Daily Mail Reporter. Published on January 10th, 2014 at 7:33 PM EST and updated on January 11th at 9:40 AM EST. Accessed on October 18th, 2020 at 5:16 PM PDT. https://www.dailymail.co.uk/news/article-2536575/Why-women-likely-get-away-men-crimes-mugshots-prove-wronged-female-criminals-get-lenient-sentences-harder-offenses.html

"Women Who Commit Crimes Are More Likely To Get Away With Them Than Men" by Daily Mail Reporter. Published on January 10th, 2014 at 7:33 PM EST and updated on January 11th at 9:40 AM EST. Accessed on October 18th, 2020 at 5:16 PM PDT. https://www.dailymail.co.uk/news/article-2536575/Why-women-likely-get-away-men-crimes-mugshots-prove-wronged-female-criminals-get-lenient-sentences-harder-offenses.html

"Women Who Commit Crimes Are Less Likely To Get Away With Them Than Men" by Daily Mail Reporter. Published on January 10th, 2014 at 7:33 PM EST and updated on January 11th at 9:40 AM EST. Accessed on October 18th, 2020 at 5:16 PM PDT. https://www.dailymail.co.uk/news/article-2536575/Why-women-likely-get-away-men-crimes-mugshots-prove-wronged-female-criminals-get-lenient-sentences-harder-offenses.html

"Women Who Commit Crimes Are More Likely To Get Away With Them Than Men" by Daily Mail Reporter. Published on January 10th, 2014 at 7:33 PM EST and updated on January 11th at 9:40 AM EST. Accessed on October 18th, 2020 at 5:16 PM PDT. https://www.dailymail.co.uk/news/article-2536575/Why-women-likely-get-away-men-crimes-mugshots-prove-wronged-female-criminals-get-lenient-sentences-harder-offenses.html

"Women Who Commit Crimes Are Less Likely To Get Away With Them Than Men" by Daily Mail Reporter. Published on January 10th, 2014 at 7:33 PM EST and updated on January 11th at 9:40 AM EST. Accessed on October 18th, 2020 at 5:16 PM PDT. https://www.dailymail.co.uk/news/article-2536575/Why-women-likely-get-away-men-crimes-mugshots-prove-wronged-female-criminals-get-lenient-sentences-harder-offenses.html

"Women Who Commit Crimes Are More Likely To Get Away With Them Than Men" by Daily Mail Reporter. Published on January 10th, 2014 at 7:33 PM EST and updated on January 11th at 9:40 AM EST. Accessed on October 18th, 2020 at 5:16 PM PDT. https://www.dailymail.co.uk/news/article-2536575/Why-women-likely-get-away-men-crimes-mugshots-prove-wronged-female-criminals-get-lenient-sentences-harder-offenses.html

"Women Who Commit Crimes Are Less Likely To Get Away With Them Than Men" by Daily Mail Reporter. Published on January 10th, 2014 at 7:33 PM EST and updated on January 11th at 9:40 AM EST. Accessed on October 18th, 2020 at 5:16 PM PDT. https://www.dailymail.co.uk/news/article-2536575/Why-women-likely-get-away-men-crimes-mugshots-prove-wronged-female-criminals-get-lenient-sentences-harder-offenses.html

"Women Who Commit Crimes Are More Likely To Get Away With Them Than Men" by Daily Mail Reporter. Published on January 10th, 2014 at 7:33 PM EST and updated on January 11th at 9:40 AM EST. Accessed on October 18th, 2020 at 5:16 PM PDT. https://www.dailymail.co.uk/news/article-2536575/Why-women-likely-get-away-men-crimes-mugshots-prove-wronged-female-criminals-get-lenient-sentences-harder-offenses.html

"Women Who Commit Crimes Are Less Likely To Get Away With Them Than Men" by Daily Mail Reporter. Published on January 10th, 2014 at 7:33 PM EST and updated on January 11th at 9:40 AM EST. Accessed on October 18th, 2020 at 5:16 PM PDT. https://www.dailymail.co.uk/news/article-2536575/Why-women-likely-get-away-men-crimes-mugshots-prove-wronged-female-criminals-get-lenient-sentences-harder-offenses.html

"Women Who Commit Crimes Are More Likely To Get Away With Them Than Men" by Daily Mail Reporter. Published on January 10th, 2014 at 7:33 PM EST and updated on January 11th at 9:40 AM EST. Accessed on October 18th, 2020 at 5:16 PM PDT. https://www.dailymail.co.uk/news/article-2536575/Why-women-likely-get-away-men
