User: "напиши список фильмов про Искусственный интеллект"

Assistant: "1. "Искусственный интеллект" (2001)
2. "Бладшот" (2020)
3. "Робокоп" (1987)
4. "Терминатор" (1984)
5. "Экз-машина" (2015)
6. "Законопослушный гражданин" (1987)
7. "Матрица" (1999)
8. "Стражи Галактики, ч.2" (2017)
9. "Мстители: Эра Альтрона" (2015)
10. "Битва за будущее" (2014)"

User: "еще"

Assistant: "11. "Игры разума" (2001)
12. "Человек-робот" (2004)
13. "Минорити Репорт" (2002)
14. "Черный отряд" (2012)
15. "Главный герой" (2014)
16. "Прометей" (2012)
17. "Источник" (2014)
18. "Управление гневом" (2003)
19. "Хэй, робот!" (2010)
20. "Крестный отец 3" (1990)"
