token,surprisal
 to,2.8721840381622314
 an,5.64663028717041
 affidavit,5.452632427215576
 filed,1.8967808485031128
 in,1.2277368307113647
 US,9.620126724243164
 District,0.1964871734380722
 Court,0.03495662659406662
 on,5.350497722625732
 December,6.0103936195373535
 1,5.405683517456055
",",0.24825593829154968
 2013,3.1223630905151367
",",0.28398188948631287
 the,2.279083251953125
 defendant,4.657670497894287
",",4.101850986480713
 Anthony,9.007438659667969
 Michael,8.614173889160156
 Lopez,8.54942512512207
",",0.5741945505142212
 accessed,14.257901191711426
 a,3.2108185291290283
 Royal,16.781400680541992
 Caribbean,3.5431034564971924
 computer,9.212044715881348
 system,3.5174458026885986
 and,2.6570537090301514
 stole,6.0341386795043945
 information,4.805881500244141
 about,2.1563360691070557
 approximately,8.547348022460938
 59,10.190644264221191
",",1.4379538297653198
000,0.3521788716316223
 guests,8.404387474060059
 who,4.442709922790527
 were,1.6289187669754028
 booked,5.4318976402282715
 on,2.5366830825805664
 46,15.15369701385498
 different,3.792022228240967
 sail,12.658184051513672
ings,0.4594879746437073
 between,4.517675876617432
 February,4.676227569580078
 2010,5.230041980743408
 and,0.21566259860992432
 April,3.5525431632995605
 2013,2.416033983230591
.,0.41586682200431824
"
",2.1858925819396973
L,18.844581604003906
opez,0.012447039596736431
 then,3.9533145427703857
 allegedly,5.949584484100342
 used,2.646406888961792
 the,1.261195182800293
 personal,7.394599437713623
 information,0.7430093288421631
 to,3.111163377761841
 access,4.48663854598999
 victims,11.514688491821289
',0.4638645052909851
 credit,5.378460884094238
 cards,2.1635117530822754
 online,8.493789672851562
 and,1.886965036392212
 make,8.04366683959961
 fraudulent,2.8397347927093506
 charges,6.904337406158447
 or,8.04477596282959
 withdraw,5.088596820831299
 cash,3.7356934547424316
 from,1.639554500579834
 AT,7.548394680023193
Ms,0.007497165817767382
 in,4.873647212982178
 their,8.603226661682129
 names,1.9264253377914429
.,1.176743507385254
 The,2.947275161743164
 total,10.338797569274902
 estimated,7.564579010009766
 losses,7.810826778411865
 are,5.487392425537109
 more,6.354933738708496
 than,0.011234800331294537
 $,0.0968829095363617
56,9.814248085021973
",",1.5521236658096313
000,0.18005570769309998
.,0.7688252925872803
"
",0.6568896770477295
It,7.69577169418335
 was,2.215402603149414
 not,3.7000298500061035
 immediately,1.3580652475357056
 clear,0.2694380283355713
 why,4.397889614105225
 Lopez,1.3111186027526855
 stole,6.311685562133789
 the,0.8153781294822693
 information,0.9456446170806885
 or,3.9112730026245117
 how,2.4804561138153076
 he,2.0248055458068848
 accessed,3.266085147857666
 it,1.6933362483978271
.,0.5623785853385925
 Royal,14.727264404296875
 Caribbean,0.005091663915663958
 said,3.125439405441284
 that,3.2558815479278564
 their,9.739418983459473
 computer,6.427548408508301
 systems,1.2731142044067383
 were,1.9269927740097046
 secure,5.375927448272705
 and,1.0000197887420654
 that,1.903283715248108
 they,2.5423994064331055
 were,2.9197702407836914
" """,3.578569173812866
un,6.332556247711182
aware,1.1468422412872314
 of,0.5988574624061584
 any,0.7813571095466614
 vulnerability,9.072571754455566
"""",2.867488384246826
 prior,8.289215087890625
 to,0.0027231620624661446
 Lopez,5.082292556762695
's,1.7156254053115845
 arrest,4.4029622077941895
.,0.40881165862083435
 They,6.533371448516846
 did,3.2069239616394043
 not,0.18273290991783142
 provide,2.0890848636627197
 further,2.2429566383361816
 details,1.2242769002914429
 about,1.96644127368927
 the,1.0342984199523926
 investigation,5.417417049407959
",",3.288748025894165
 such,5.983976364135742
 as,0.009126430377364159
 whether,2.166356325149536
 there,4.893393516540527
 had,3.9448940753936768
 been,0.039357688277959824
 a,2.812000036239624
 breach,2.8725624084472656
 in,4.001734733581543
 security,4.0066728591918945
 protocols,7.252402305603027
