token,surprisal
a,9.074224472045898
 passion,14.373054504394531
 for,1.0980796813964844
 science,6.6596293449401855
 fiction,6.018730163574219
 and,1.4329339265823364
 space,9.706432342529297
 adventure,5.73702335357666
 graphic,15.258462905883789
 novels,0.416342169046402
",",2.2970705032348633
 a,5.636346817016602
 passion,3.1490046977996826
 for,0.09460224956274033
 computers,10.470650672912598
",",1.0937447547912598
 and,0.9587761759757996
 a,0.6954818367958069
 mild,12.821155548095703
 man,11.021739959716797
nered,0.013729053549468517
 personality,6.802000999450684
.,0.973218560218811
 A,5.640852451324463
 computer,8.266277313232422
 geek,2.022728204727173
 by,6.501237869262695
 day,1.2972049713134766
 and,2.0272364616394043
 comic,11.640401840209961
 book,0.6903547644615173
 collector,5.589759349822998
 by,0.09665706753730774
 night,0.03493812307715416
.,1.7763619422912598
 August,14.082902908325195
 was,7.419002056121826
 not,6.476770401000977
 a,3.0916171073913574
 bully,16.432682037353516
.,3.007995128631592
 He,1.63926362991333
 had,3.654087781906128
 never,5.2994842529296875
 been,2.1755311489105225
 known,8.323661804199219
 to,1.7484744787216187
 pick,8.36532211303711
 on,2.4848885536193848
 anyone,2.018977165222168
 physically,10.465271949768066
 or,2.6580424308776855
 verbally,1.2723278999328613
;,6.7589921951293945
 he,1.198677659034729
 always,5.996495723724365
 made,5.2748308181762695
 sure,2.1952686309814453
 that,3.138207197189331
 his,2.9970431327819824
 opinions,9.305249214172363
 were,0.8202146291732788
 delivered,12.630352973937988
 with,2.239881992340088
 respect,5.216848373413086
 and,1.4844248294830322
 kindness,5.690796375274658
.,0.5354172587394714
 In,5.57727575302124
 fact,2.1932880878448486
",",0.0893261656165123
 the,5.187883377075195
 only,2.526670455932617
 people,4.946046829223633
 who,1.3693376779556274
 ever,4.263269424438477
 picked,9.053229331970215
 on,0.5290622711181641
 him,0.28398147225379944
 were,0.41892528533935547
 those,4.222683906555176
 who,0.8008736371994019
 couldn,8.180545806884766
't,0.004427601117640734
 stand,3.3146257400512695
 up,5.364194393157959
 for,1.4449526071548462
 themselves,0.5715802907943726
",",3.117589235305786
 such,4.402851581573486
 as,0.03013046458363533
 the,3.270367383956909
 weak,12.765963554382324
 minded,5.183502197265625
 students,9.53909969329834
 in,3.973558187484741
 his,2.096285343170166
 classroom,5.550358772277832
 at,5.906832218170166
 school,5.953425884246826
 who,2.4199931621551514
 thought,6.272347450256348
 it,5.186223030090332
 would,3.531019449234009
 be,0.35406455397605896
 cool,4.0526323318481445
 to,0.7592321038246155
 bully,6.056384086608887
 a,3.0115997791290283
 ner,8.639649391174316
dy,0.038742855191230774
 kid,2.544914722442627
.,1.647037148475647
 He,3.0920727252960205
 never,4.459187984466553
 got,5.109914302825928
 into,2.7021594047546387
 fights,2.6014652252197266
;,4.6692891120910645
 instead,5.2499237060546875
",",0.5330320000648499
 he,0.3962404429912567
 used,5.423192977905273
 his,1.9743566513061523
 w,8.73286247253418
its,0.16684024035930634
 and,2.0457282066345215
 his,3.3036532402038574
 ability,5.9970550537109375
 to,0.08446896076202393
 write,7.789299011230469
 code,9.818674087524414
 to,0.3744279146194458
 help,5.050831317901611
 himself,7.34084939956665
 out,6.469038963317871
 of,3.648157835006714
 trouble,1.9305107593536377
.,0.4630577564239502
 One,6.8939900398254395
 day,1.5228242874145508
",",0.8548704385757446
 August,9.304974555969238
 was,2.9147822856903076
 sitting,4.516036033630371
 alone,4.698715686798096
 at,2.591254472732544
 lunch,7.265451431274414
 when,2.6038320064544678
 three,9.146631240844727
 boys,5.2420196533203125
 walked,5.361224174499512
 up,1.6567680835723877
 to,0.51022869348526
 him,0.10736297070980072
",",3.3072280883789062
 the,7.9834489822387695
 ring,15.498396873474121
 leader,8.967109680175781
 of,2.598519802093506
 which,9.6372709274292
 asked,10.185805320739746
 him,1.796796202659607
 if,2.4768869876861572
 he,0.18846282362937927
 wanted,2.7392728328704834
 to,0.37298884987831116
 join,3.251106023788452
 their,4.771821022033691
" """,7.382870197296143
gang,7.967547416687012
".""",1.5342390537261963
 ,10.898003578186035
"

",12.324335098266602
