token,surprisal
 Warsaw,17.486589431762695
 Stadium,11.11620807647705
",",2.638371467590332
 which,3.317732334136963
 can,8.109472274780273
 hold,4.457659721374512
 over,5.309656143188477
 60,5.950175762176514
",",0.1146760955452919
000,0.002055796794593334
 fans,1.8505184650421143
",",0.5143648386001587
 was,3.083949089050293
 opened,5.632496356964111
 on,2.718465566635132
 Saturday,5.058755874633789
 night,4.117260932922363
 with,5.426948547363281
 a,1.766929268836975
 concert,6.362713813781738
 featuring,5.387959003448486
 popular,9.439696311950684
 Polish,4.652132511138916
 bands,3.8457188606262207
.,2.8906478881835938
 The,3.2452969551086426
 event,5.313657760620117
 was,1.9886537790298462
 intended,8.406975746154785
 to,0.3331291377544403
 showcase,4.491384983062744
 the,1.047767996788025
 city,3.591026782989502
's,0.29497474431991577
 new,5.543094158172607
 state,8.598837852478027
-,1.8358935117721558
of,0.10778173804283142
-,0.002798376139253378
the,0.008643029257655144
-,0.17233826220035553
art,0.0036958216223865747
 facility,7.163640022277832
 ahead,10.71384048461914
 of,0.002670350717380643
 the,0.9793243408203125
 tournament,9.695186614990234
",",2.6273515224456787
 which,1.232680082321167
 begins,2.804532766342163
 in,2.0541489124298096
 June,4.9434356689453125
.,0.4298984408378601
