token,surprisal
 once,10.352008819580078
 married,10.16091537475586
",",2.6995608806610107
 but,3.1236274242401123
 his,4.897859573364258
 wife,2.7373404502868652
 left,5.980758190155029
 him,0.6093396544456482
 because,5.929198741912842
 he,1.644681692123413
 spent,10.996700286865234
 too,1.2289297580718994
 much,0.07209321856498718
 time,0.24839454889297485
 working,6.9241838455200195
 on,3.3683204650878906
 his,1.827466607093811
 space,13.7736234664917
 ship,4.869343280792236
.,1.0065200328826904
 Now,7.234006404876709
 he,1.7628098726272583
 has,3.206077814102173
 nothing,9.791674613952637
 but,2.138388156890869
 the,5.386127471923828
 memories,6.157622814178467
 of,0.4095359444618225
 her,4.0254292488098145
 and,2.977691173553467
 his,2.2889766693115234
 children,6.2862677574157715
 in,6.044511318206787
 the,2.6123909950256348
 cage,13.435300827026367
.,1.2868365049362183
 As,6.328868389129639
 they,5.157875061035156
 grow,5.329470157623291
 up,1.951752781867981
",",0.5197843313217163
 he,2.2518539428710938
 teaches,10.962650299072266
 them,1.2337340116500854
 about,3.3673346042633057
 his,4.663174152374268
 planet,8.417734146118164
 and,1.6219651699066162
 how,2.85052490234375
 to,1.5815081596374512
 be,5.3820390701293945
 successful,6.552421569824219
 businessmen,13.357056617736816
 like,8.279141426086426
 their,6.7848052978515625
 father,1.670836091041565
.,0.6683629751205444
 He,3.27317214012146
 takes,6.450431823730469
 them,2.624392032623291
 on,1.651358962059021
 trips,3.682239532470703
 through,5.343202114105225
 his,4.407812595367432
 spaceship,6.322601795196533
 and,1.6904536485671997
 shows,6.185027122497559
 them,0.15194742381572723
 all,5.385196685791016
 the,1.3633108139038086
 different,6.006731033325195
 planets,3.0181210041046143
 and,2.868784189224243
 stars,4.958316326141357
 that,3.106018304824829
 they,4.968085289001465
 can,1.1756949424743652
 visit,3.4676928520202637
 when,7.337128162384033
 they,0.3949175179004669
 are,2.7117106914520264
 older,5.672344207763672
.,0.315568745136261
 But,6.4053802490234375
 for,6.785320281982422
 now,2.7258992195129395
",",0.44708797335624695
 they,3.11456036567688
 have,3.7072370052337646
 to,0.8398206830024719
 stay,3.845855712890625
 in,2.6600162982940674
 the,1.4230283498764038
 cage,3.144779920578003
 until,3.7532308101654053
 he,2.8584213256835938
 has,4.932615280151367
 a,3.717583417892456
 better,3.3739089965820312
 chance,2.4879140853881836
 of,1.4005833864212036
 winning,3.475106954574585
 the,2.0831620693206787
 lottery,3.8053810596466064
.,0.4055183231830597
"
",2.9091405868530273
 ,17.641029357910156
