token,surprisal
 all,8.465256690979004
 have,3.326486110687256
 that,5.805997848510742
 dream,8.88517951965332
 of,2.6449577808380127
 getting,4.8026018142700195
 our,5.852926731109619
 holiday,13.640056610107422
 shots,9.492311477661133
 just,8.56037425994873
 right,1.376985788345337
.,1.706758737564087
 We,3.7541754245758057
 want,4.582763195037842
 to,0.7410807609558105
 be,3.4053797721862793
 able,1.4211244583129883
 to,0.009543858468532562
 capture,5.727474689483643
 a,4.930019378662109
 moment,3.6150097846984863
 in,2.7914884090423584
 time,0.3339594900608063
",",3.4398088455200195
 that,6.066249847412109
 encaps,11.24960708618164
ulates,0.09909570217132568
 exactly,8.832886695861816
 how,3.1948435306549072
 we,1.1977224349975586
 feel,2.046114921569824
 about,1.7343705892562866
 a,4.748708248138428
 place,5.541328430175781
 or,3.539429187774658
 experience,6.583874702453613
 -,8.734190940856934
 the,5.027463436126709
 feeling,5.405137062072754
 that,2.47324538230896
 you,3.095102548599243
 got,8.137852668762207
 when,3.091308355331421
 you,0.1758905053138733
 first,5.560056209564209
 set,6.355650424957275
 foot,0.5482132434844971
 on,2.0539309978485107
 a,3.5909032821655273
 beach,2.487067461013794
 and,4.397759914398193
 felt,6.2517828941345215
 so,5.469903469085693
 happy,4.570092678070068
 and,2.1593987941741943
 free,7.948071479797363
!,8.328805923461914
 However,8.54801082611084
",",0.23634286224842072
 there,3.902639150619507
's,2.255218505859375
 no,4.1986894607543945
 magic,4.444484710693359
 formula,3.7988057136535645
 for,2.4305977821350098
 it,5.283151149749756
...,6.5128302574157715
