token,surprisal
 Well,13.717464447021484
" ,",9.618083000183105
 thank,9.560462951660156
 you,0.0735451877117157
 for,1.618868350982666
 asking,5.819999694824219
 .,4.764074325561523
 I,2.8479628562927246
 am,3.7000603675842285
 doing,7.521980285644531
 well,4.336837291717529
 in,4.871530532836914
 my,2.042989492416382
 career,6.20813512802124
 and,2.254361152648926
 business,11.495800018310547
 .,4.509273052215576
" """,7.592088222503662
"
",2.6018426418304443
"
",0.4207790195941925
"""",2.1336379051208496
 That,7.308705806732178
's,1.6036076545715332
 good,3.8950347900390625
 to,3.6168477535247803
 hear,0.665028989315033
 .,2.1464927196502686
 You,5.445239543914795
 seem,6.307905673980713
 happy,6.0291666984558105
 about,3.7981679439544678
 it,2.3110241889953613
.,2.724759578704834
 What,7.011180877685547
 do,2.4286916255950928
 you,0.0664580911397934
 enjoy,9.353421211242676
 most,2.0046818256378174
 of,6.699799537658691
 all,1.1634082794189453
 ?,2.7963290214538574
" """,0.4731816351413727
"
",0.42095401883125305
"
",0.0003310185857117176
"""",0.24285906553268433
 ,9.24777889251709
 I,11.797683715820312
 really,5.81399393081665
 like,1.9028888940811157
 meeting,9.714098930358887
 new,1.5802093744277954
 people,0.09665440022945404
 .,1.7997034788131714
 And,6.394096851348877
 I,2.214430332183838
 really,4.4032135009765625
 enjoy,3.176608085632324
 reading,5.757900238037109
 your,4.990399360656738
 books,2.490539312362671
" ,",5.0165510177612305
 you,5.17515230178833
 know,1.6490119695663452
 .,1.2969427108764648
 They,8.228221893310547
 are,1.2445322275161743
 great,4.365910053253174
 !,3.8773155212402344
 I,3.7754697799682617
 am,3.4172308444976807
 a,4.729938507080078
 big,3.0594019889831543
 fan,0.4532105624675751
 of,0.4120398759841919
 yours,3.411182165145874
 and,2.7484424114227295
 I,2.2035441398620605
 am,2.799536943435669
 so,4.831252098083496
 glad,1.3757803440093994
 that,2.919682025909424
 we,6.085724353790283
 have,2.459146499633789
 met,3.6201834678649902
 here,6.7644944190979
 in,5.2911176681518555
 Shanghai,8.262227058410645
 !,3.3836021423339844
 I,3.5662996768951416
 hope,4.160799503326416
 to,2.6901094913482666
 see,2.193336248397827
 you,0.09855248034000397
 again,2.3460474014282227
 someday,5.214598655700684
 in,5.082604885101318
 New,6.5167460441589355
 York,0.12635520100593567
 .,2.904862403869629
" """,0.9607363939285278
