token,surprisal
 Where,14.397605895996094
 did,4.841299533843994
 you,1.8896788358688354
 learn,3.302262783050537
 this,3.210181713104248
 wonderful,9.910801887512207
 language,4.621475696563721
 ,11.637028694152832
"?""",0.5765661597251892
"
",1.3119018077850342
"
",0.10920637845993042
"""",1.0056089162826538
 From,11.952658653259277
 my,3.5825986862182617
 parents,5.03628396987915
 and,4.950829029083252
 my,2.7268526554107666
 school,7.164309501647949
 teachers,4.445068836212158
 .,6.002810001373291
" """,3.5247998237609863
"
",0.7111788392066956
"
",0.0005191370146349072
"""",0.7312480211257935
 Oh,4.928897380828857
 !,7.523187160491943
 That,6.223268508911133
 is,2.255141496658325
 great,5.6333909034729
 .,5.101736545562744
 How,8.679192543029785
 long,6.0419769287109375
 have,2.2123234272003174
 you,0.19418755173683167
 been,0.5180550217628479
 studying,3.622102737426758
 English,4.031478404998779
 ,4.832075119018555
"?""",0.04407167807221413
"
",0.19839513301849365
"
",0.0005591379594989121
"""",0.13373471796512604
 Since,6.529384613037109
 I,1.9898194074630737
 was,1.0567651987075806
 a,2.2152023315429688
 little,1.9611656665802002
 boy,1.819326400756836
.,2.610640525817871
 I,3.203925132751465
 started,6.957740306854248
 at,4.758243083953857
 the,2.8949337005615234
 age,2.961534023284912
 of,0.014478709548711777
 7,5.83854341506958
.,1.6496604681015015
" """,2.0054166316986084
"
",0.1924254447221756
"
",0.00036851988988928497
"""",0.43220648169517517
 Wow,7.652747631072998
 !,0.7589781284332275
 You,3.2969536781311035
 are,2.386261224746704
 very,3.6602606773376465
 good,2.233347177505493
 at,1.4377391338348389
 it,2.9721710681915283
 .,3.306272029876709
" """,0.782279372215271
"
",0.10700488835573196
"
",0.00035837036557495594
"""",0.1512611210346222
 Thank,7.211711883544922
 you,0.1485724300146103
 very,3.2803454399108887
 much,0.013246363960206509
 .,2.0862724781036377
" """,0.6763651967048645
