token,surprisal
The,5.118950366973877
 lines,13.365772247314453
 were,4.663425922393799
 not,5.782466888427734
 made,6.563297271728516
 by,3.1624813079833984
 Neander,13.775948524475098
th,0.11975060403347015
als,0.00022204668493941426
",",1.543107271194458
 nor,6.228166103363037
 are,4.192505836486816
 they,0.8378831744194031
 proof,10.084245681762695
 of,1.23557710647583
 intelligence,10.082075119018555
 or,4.110321998596191
 creativity,6.999905109405518
.,0.9705233573913574
 There,5.814494609832764
 is,1.858263611793518
 no,2.0936365127563477
 way,5.645520210266113
 to,1.5202025175094604
 tell,4.429786682128906
 what,4.6431121826171875
 the,3.3280770778656006
 lines,2.2865254878997803
 were,1.6034629344940186
 for,6.986026763916016
.,2.6155662536621094
 They,4.112728595733643
 may,4.805685997009277
 have,0.7111789584159851
 been,0.6291722655296326
 drawn,4.173680782318115
 as,5.751883506774902
 a,1.1036211252212524
 decoration,8.76396656036377
",",2.2639291286468506
 or,2.179595947265625
 to,5.254303932189941
 make,4.4965009689331055
 a,2.0782415866851807
 point,4.49118185043335
 to,3.890960931777954
 others,6.115348815917969
 nearby,10.783857345581055
",",2.4131903648376465
 but,2.36897873878479
 there,3.88814377784729
's,4.72587776184082
 just,8.918766975402832
 no,0.5374236106872559
 way,0.43104618787765503
 to,0.21974609792232513
 know,1.7887822389602661
.,1.9891735315322876
"
",1.3171000480651855
