token,surprisal
 sun,13.06786823272705
 is,2.9435884952545166
 bright,7.4958086013793945
ening,6.479697227478027
",",2.4789977073669434
 my,7.802681922912598
 dear,7.641330242156982
.,3.301297664642334
 You,5.01907205581665
 will,4.562107086181641
 be,2.9491608142852783
 glad,4.993150234222412
 when,3.9349417686462402
 you,1.6625877618789673
 get,4.4295334815979
 outside,9.578401565551758
".""",2.6680119037628174
" """,5.231508255004883
Oh,4.9659247398376465
 no,6.3954291343688965
"!""",3.0641276836395264
 I,2.2485852241516113
 cried,2.4882419109344482
 out,4.252155780792236
 as,4.418787479400635
 he,5.018552303314209
 opened,6.730566501617432
 the,1.101420283317566
 door,0.4507685601711273
 and,2.5508055686950684
 stepped,5.1112165451049805
 into,2.830371618270874
 the,0.553257405757904
 cool,8.774967193603516
 air,2.660550594329834
.,0.4837673604488373
 As,6.461026191711426
 soon,4.0351481437683105
 as,0.008971191011369228
 he,1.4106351137161255
 set,10.055992126464844
 foot,3.3994288444519043
 on,3.124824285507202
 the,0.5633172988891602
 porch,3.903381586074829
",",0.8991168141365051
 he,2.342365026473999
 fell,7.835142612457275
 down,3.9059979915618896
 to,2.9980671405792236
 his,1.5576444864273071
 knees,0.1086997538805008
.,3.5972166061401367
" """,1.717816948890686
Why,5.980947494506836
 did,3.5147738456726074
 you,0.35052692890167236
 do,4.312260627746582
 it,4.266150951385498
?,2.992332935333252
 Why,2.4728002548217773
"?""",6.513809680938721
" """,1.6978543996810913
You,4.817116737365723
 have,4.612340450286865
 to,3.4010884761810303
 let,7.050754547119141
 me,0.9079492688179016
 go,3.2590341567993164
".""",3.9287662506103516
 He,2.9748995304107666
 pleaded,11.215163230895996
 for,3.568394422531128
 mercy,4.381283760070801
 in,6.443920135498047
 a,3.1887547969818115
 soft,6.074760913848877
 tone,5.4207072257995605
 that,4.672442436218262
 had,5.557680130004883
 never,4.775097370147705
 been,0.9437684416770935
 heard,0.8930447697639465
 before,1.2807817459106445
 from,6.924306392669678
 him,3.2114458084106445
.,0.5555938482284546
" """,1.10392165184021
I,1.90939199924469
 can,4.685503005981445
't,0.4715639054775238
 watch,10.191983222961426
 my,5.5660929679870605
 son,4.5900349617004395
 get,6.597413063049316
 sick,6.32479190826416
 again,6.449831485748291
".""",3.387101411819458
 I,2.60551118850708
 yelled,10.465988159179688
 as,3.9946107864379883
 loud,10.860808372497559
 and,4.66475248336792
 high,7.586245059967041
 pitched,2.339947462081909
 as,0.7316333651542664
 possible,4.255472183227539
.,1.3110368251800537
 I,4.093478679656982
 knew,5.383255481719971
 that,2.4640097618103027
 this,4.334319591522217
 was,1.276269793510437
 the,2.845475673675537
 only,2.911454439163208
 way,0.932248592376709
 to,1.7838128805160522
 save,2.362534284591675
 myself,4.938991069793701
 from,2.026643991470337
 being,3.6153688430786133
 stuck,8.143335342407227
