token,surprisal
"
",2.087475538253784
The,3.8353960514068604
 555,18.849628448486328
 timer,9.858940124511719
 is,2.3194222450256348
 a,3.226395845413208
 well,9.550328254699707
-,0.7600188851356506
known,0.7684530019760132
 integrated,14.33923625946045
 circuit,1.9640264511108398
 and,4.661447048187256
 has,3.7364838123321533
 been,0.7504578232765198
 used,0.9484928250312805
 in,1.7371485233306885
 countless,7.865830421447754
 applications,3.588346004486084
.,2.287907361984253
 It,1.9148045778274536
 was,5.060784339904785
 first,2.8472111225128174
 developed,3.250668525695801
 in,1.8955066204071045
 1972,6.189561367034912
 by,2.008192777633667
 Hans,10.382133483886719
 Cam,14.248827934265137
enz,9.950839042663574
ind,12.14929485321045
",",3.0763001441955566
 who,2.1644411087036133
 worked,4.8869452476501465
 at,2.338071346282959
 Sign,15.230953216552734
etics,12.24781322479248
 Corporation,6.875576496124268
",",2.5880823135375977
 and,3.8590331077575684
 is,3.3122596740722656
 now,2.5465409755706787
 manufactured,11.8256196975708
 by,0.5714114904403687
 Texas,11.403590202331543
 Instruments,0.014462901279330254
 as,7.108254909515381
 part,3.0419373512268066
 of,0.0017175808316096663
 their,3.4575822353363037
 T,7.885138988494873
LC,7.075814723968506
 series,7.144983291625977
 of,2.6072237491607666
 timers,9.549090385437012
.,0.2645258903503418
 The,2.214451313018799
 device,9.809154510498047
 consists,5.3606696128845215
 of,0.015235012397170067
 two,2.5204036235809326
 N,10.80141544342041
AND,4.022426128387451
 gates,7.229011058807373
 connected,5.220274925231934
 together,5.23507833480835
 with,3.5926828384399414
 an,3.1075916290283203
 oscill,6.461767673492432
ator,0.5828763246536255
 circuit,6.6110310554504395
 that,3.8024487495422363
 generates,4.561375141143799
 a,1.330296516418457
 square,11.187053680419922
 wave,0.3429052233695984
 output,7.394720077514648
 signal,5.952236175537109
 when,5.284566879272461
 power,9.153820037841797
 is,0.1473461091518402
 applied,0.5715804100036621
 to,1.3966916799545288
 it,5.93190860748291
.,0.4010844826698303
"
",2.977013349533081
"
",0.0003143325448036194
This,5.270103454589844
 module,8.065512657165527
 will,6.907909393310547
 describe,12.922704696655273
 the,1.6780343055725098
 operation,5.459617614746094
 and,4.143669605255127
 use,4.2194623947143555
 of,0.06092642992734909
 the,0.7626824975013733
 555,0.0704437717795372
 timer,0.0458211749792099
 in,3.266291379928589
 more,7.263126850128174
 detail,0.0520172156393528
",",2.7255594730377197
 including,3.5176405906677246
 its,4.42073917388916
 features,7.272615432739258
 and,1.7500085830688477
 applications,5.07127571105957
.,0.4104369580745697
 It,3.5186822414398193
 will,1.5313953161239624
 also,0.9355165958404541
 provide,2.8517253398895264
 information,3.8785433769226074
 on,1.3658685684204102
 how,2.835190773010254
 to,0.7667994499206543
 create,5.8167405128479
 your,5.813364028930664
 own,0.015608140267431736
 circuits,7.888367176055908
 using,3.530848979949951
 this,3.2476327419281006
 device,5.806330680847168
.,0.8295987248420715
"
",0.7048887014389038
"
",0.0001869572588475421
The,2.10042405128479
 555,0.6680070161819458
 Tim,8.529304504394531
er,0.2059600055217743
 Module,5.427212238311768
 is,3.1228628158569336
 an,4.038798809051514
 IC,9.01734447479248
 that,2.8974227905273438
 can,3.336286783218384
 be,0.47511136531829834
 used,1.2802740335464478
 for,3.124314785003662
 a,3.8205838203430176
 variety,1.399656891822815
 of,0.002697746967896819
 timing,12.278325080871582
 applications,2.0299761295318604
.,1.4674791097640991
 It,1.6250696182250977
 is,1.6037732362747192
 a,3.048391342163086
 mon,11.355222702026367
ost,8.117659568786621
able,1.0443497896194458
 mult,9.177294731140137
iv,6.420854568481445
ibr,1.7107760906219482
ator,0.8129183053970337
 with,3.173682451248169
 three,5.648219108581543
 inputs,6.251774311065674
 and,1.7176440954208374
 one,4.42277193069458
 output,0.059537097811698914
.,0.9916243553161621
 The,1.7012273073196411
 input,3.126513957977295
 volt,10.40312671661377
ages,0.014081125147640705
 are,1.373062252998352
 applied,8.073758125305176
 to,0.9631295204162598
 the,1.21294367313385
 two,7.129781246185303
 bottom,10.312017440795898
 pins,4.33500862121582
 of,0.9326383471488953
 the,0.3358260691165924
 chip,6.923459053039551
",",2.3329782485961914
 while,5.924928665161133
 the,0.26075780391693115
 output,0.8341132998466492
 voltage,1.6387954950332642
 appears,13.95704174041748
 at,4.291103839874268
 the,0.5002958178520203
 top,0.8576978445053101
 pin,4.066349983215332
.,2.010453701019287
"
",2.59098219871521
"
",0.0001955575280589983
The,1.1171860694885254
 module,7.237528324127197
 consists,4.070984840393066
 of,0.007590436842292547
 a,1.951082468032837
 555,7.524051189422607
 timer,1.1046737432479858
 IC,5.281734466552734
 mounted,8.540980339050293
 on,0.5502594113349915
 an,3.3064193725585938
 aluminum,4.063234329223633
 heat,9.567684173583984
 sink,0.7274355888366699
 along,10.094501495361328
 with,0.4228234887123108
 two,3.178100109100342
 resist,5.895179271697998
