token,surprisal
 Wrong,17.199581146240234
 Answer,9.204947471618652
 :,7.392203330993652
"
",3.9371275901794434
>,15.35532283782959
 I,5.369259834289551
've,4.6313557624816895
 never,3.548643112182617
 thought,6.242762565612793
 about,1.4608312845230103
 buying,10.25478458404541
 a,1.8845956325531006
 car,3.6245994567871094
.,2.366762399673462
 It,4.010324954986572
's,0.9222666621208191
 so,5.206121444702148
 expensive,3.0935347080230713
",",2.3632876873016357
 and,2.9085378646850586
 I,2.1215405464172363
 can,3.841257095336914
 just,7.167836666107178
 walk,4.899360179901123
 everywhere,8.208440780639648
 I,3.3902266025543213
 need,6.296488285064697
 to,1.1021467447280884
 go,3.8082969188690186
.,1.3997738361358643
"
",3.1443090438842773
"
",5.762069225311279
####,17.61336898803711
 Right,5.917474269866943
 Answer,0.18991942703723907
 :,0.05149570107460022
"
",0.1656830757856369
>,17.625802993774414
 Yes,6.691554546356201
" ,",10.172442436218262
 I,1.971207618713379
 have,3.3610546588897705
 .,9.313169479370117
 You,9.546247482299805
 know,3.533399820327759
",",1.953064203262329
 it,4.020928859710693
 makes,6.260833263397217
 sense,2.6664798259735107
 for,3.683075189590454
 you,3.487272262573242
 to,0.447558730840683
 get,4.280819416046143
 insured,12.842476844787598
 .,5.6834940910339355
 What,8.255077362060547
 if,3.9395878314971924
 something,7.594376564025879
 happens,2.518235921859741
 to,1.7564421892166138
 you,0.9407004117965698
 and,3.965754270553589
 you,0.8004443049430847
 don,3.0017342567443848
't,0.0011078214738518
 have,2.552327871322632
 any,4.980662822723389
 money,1.9306838512420654
?,1.9100539684295654
 Your,7.6433868408203125
 mother,10.085373878479004
 would,3.840831995010376
 be,2.4898898601531982
 devastated,4.665996074676514
" ,",6.485738754272461
 and,1.6417261362075806
 I,4.1547675132751465
 wouldn,3.3456645011901855
't,0.0009196263272315264
 want,2.286198377609253
 that,3.4440016746520996
 on,6.787477970123291
 my,0.2955637574195862
 conscience,9.67345905303955
 .,2.662039041519165
"
",1.0896856784820557
"
",0.0004529014113359153
Sure,12.641227722167969
",",0.7393830418586731
 Dad,15.820173263549805
.,4.63984489440918
 Let,6.419018745422363
's,0.5199869275093079
 do,4.881832599639893
 it,1.8794636726379395
 together,5.224635601043701
.,0.7249382138252258
"
",1.1934548616409302
"
",0.001554614631459117
###,6.387120246887207
 Explan,11.880590438842773
ation,0.4608859419822693
 of,1.9397162199020386
 response,16.025854110717773
:,3.5918493270874023
"
",0.6378015875816345
The,16.158924102783203
 model,11.155634880065918
 has,6.123576641082764
