token,surprisal
 ,7.882280349731445
 He,15.885334014892578
 looked,7.464335918426514
 at,1.5141665935516357
 her,2.8520448207855225
 as,6.000143527984619
 if,1.3706817626953125
 he,2.2270655632019043
 was,2.395014524459839
 adm,10.468749046325684
iring,0.0035728022921830416
 an,7.156434535980225
 old,3.745608329772949
 master,8.902373313903809
 painting,10.701695442199707
.,1.375226616859436
"
",2.9948816299438477
�,13.674933433532715
�,11.844587326049805
It,10.082403182983398
�,12.211440086364746
�,15.689754486083984
s,7.6478800773620605
 a,3.689429521560669
 birth,15.915915489196777
mark,3.016223669052124
.,2.3996963500976562
 ,4.740856647491455
 It,7.037092685699463
 means,6.605116367340088
 something,4.989461421966553
 special,5.804094314575195
 to,3.593862771987915
 me,2.8718111515045166
",",2.5764224529266357
�,6.098590850830078
�,9.775400161743164
 she,5.791759014129639
 said,1.4968128204345703
.,1.9606075286865234
"
",1.2684208154678345
�,2.049779176712036
�,1.0778554677963257
What,5.6579484939575195
 does,4.275069236755371
 it,1.1016533374786377
 mean,0.18521924316883087
?,1.0293951034545898
�,1.4141279458999634
�,1.5378663539886475
 He,3.4882895946502686
 asked,2.559144973754883
 in,5.9927077293396
 a,1.3641058206558228
 slow,7.410510063171387
 tone,5.315424919128418
.,0.5668718814849854
"
",0.57205730676651
�,1.0945990085601807
�,0.6154525876045227
A,6.573927402496338
 memory,11.178805351257324
 of,2.6971702575683594
 my,3.6999588012695312
 childhood,2.7896687984466553
",",2.9569671154022217
�,0.6998996734619141
�,0.26153916120529175
 She,5.445724964141846
 replied,3.037276029586792
.,1.0881712436676025
"
",0.757048487663269
She,6.396483421325684
 felt,6.8312788009643555
 the,3.459550619125366
 hairs,8.243062973022461
 on,0.6716092824935913
 the,4.57727575302124
 back,0.4358998239040375
 of,0.02331666834652424
 her,0.26608961820602417
 neck,0.5866486430168152
 stand,4.880266189575195
 up,0.3145044445991516
 at,6.639930248260498
 his,4.236353874206543
 touch,3.4104089736938477
 and,4.4468584060668945
 every,11.749476432800293
 time,2.548630714416504
 he,1.1365844011306763
 spoke,5.952932357788086
.,6.063465118408203
 The,5.255205154418945
 room,9.817948341369629
 seemed,4.557845115661621
 to,1.1175332069396973
 spin,8.699278831481934
 as,4.397740840911865
 if,0.9678360223770142
 it,1.3374861478805542
 was,1.4311957359313965
 going,4.16624641418457
 in,6.622321128845215
 circles,2.0569794178009033
",",2.3857035636901855
 and,3.306879758834839
 she,2.250809907913208
 couldn,4.4997968673706055
�,10.048811912536621
�,10.645543098449707
t,0.013934816233813763
 stop,3.508309841156006
 the,5.347519874572754
 smile,4.979018211364746
 from,1.849905252456665
 spreading,4.1996355056762695
 across,2.6319222450256348
 her,0.6490179300308228
 face,0.21777920424938202
.,0.3400527536869049
 She,3.495955467224121
 could,4.214603424072266
 hear,4.908519744873047
 her,3.3110435009002686
 heart,4.149909496307373
 pounding,2.878103494644165
 so,8.272628784179688
 loud,4.646242618560791
 that,1.6619739532470703
 it,2.3642070293426514
 almost,3.8498170375823975
 hurt,4.9731855392456055
.,1.04245924949646
"
",1.113312005996704
Anna,9.824511528015137
 felt,4.850337982177734
 her,2.48625111579895
 body,4.212894916534424
 react,11.408136367797852
 to,1.9061312675476074
 Jacob,14.768505096435547
�,7.86944580078125
�,4.151183128356934
s,2.1816389560699463
 presence,4.49104642868042
",",2.3807764053344727
 it,8.484114646911621
 was,2.3204028606414795
 like,3.2829296588897705
 a,3.131179094314575
 magnet,7.92075252532959
 pulling,6.691343307495117
 them,5.864293575286865
 closer,4.875912666320801
 together,0.866137683391571
.,0.5417044162750244
 ,7.50657844543457
 She,4.518728256225586
 wanted,5.50559663772583
 him,4.142288684844971
 to,0.17709264159202576
 get,6.811838150024414
 even,7.281940460205078
 closer,1.9175515174865723
 to,2.4117159843444824
 her,0.042515404522418976
",",1.3026026487350464
 to,1.8807425498962402
 feel,4.442654132843018
 the,4.015383720397949
 warmth,1.8765294551849365
 of,1.508873462677002
 his,1.978980541229248
 hands,6.56383752822876
 on,1.9246578216552734
 her,0.14501304924488068
 bare,8.448210716247559
 skin,2.13374662399292
.,0.9838184118270874
 ,3.1712558269500732
 But,4.10880708694458
 she,2.1474268436431885
 didn,2.639153480529785
 �,10.115464210510254
�,1.4806876182556152
 t,11.834538459777832
 know,3.3808469772338867
 if,3.2806613445281982
 he,1.8210198879241943
 would,1.1974196434020996
 want,6.310067176818848
 more,7.572821140289307
 than,2.6633870601654053
 what,5.743845462799072
 they,5.202304363250732
 had,2.1282355785369873
.,1.9612962007522583
"
",1.0744553804397583
�,1.0512529611587524
�,0.40324994921684265
Jacob,11.289955139160156
",",4.6091108322143555
 you,6.265389919281006
 are,3.0677781105041504
 an,6.037407398223877
 amazing,3.72226881980896
 man,3.3146920204162598
 and,5.418767929077148
 I,2.1021358966827393
 wish,4.6903486251831055
 we,5.612123966217041
 could,0.49925366044044495
 spend,5.675560474395752
 the,3.9396166801452637
 rest,0.6514463424682617
 of,0.0008890802273526788
 our,0.283064067363739
 lives,0.1563357561826706
 together,0.11637002974748611
.,0.8214288949966431
 ,1.0696436166763306
 ,4.663296699523926
 We,4.946897983551025
 have,3.8599231243133545
 a,3.2016749382019043
 lot,2.645329236984253
 in,1.9992417097091675
 common,0.0024694614112377167
 and,3.3163747787475586
 a,5.367497444152832
 lot,0.1725228726863861
 that,4.7829718589782715
 is,3.8068156242370605
 different,4.027235507965088
",",2.9590251445770264
 but,2.2123279571533203
 it,3.8312835693359375
 doesn,4.175271034240723
�,1.223686933517456
�,1.2561547756195068
t,0.12744168937206268
 matter,1.7616002559661865
 because,5.167723178863525
 we,1.48858642578125
 love,6.5124125480651855
 each,0.26337677240371704
 other,0.025350848212838173
 so,2.858285665512085
 much,0.26229652762413025
",",3.5827858448028564
�,0.556553840637207
�,0.28426775336265564
 ,9.757331848144531
 Anna,5.4960527420043945
 whispered,3.925870418548584
 to,2.6075363159179688
 him,3.414353609085083
 as,4.011977195739746
 he,2.134551763534546
 lay,6.856377601623535
 beside,5.722203731536865
 her,0.1205969825387001
 on,4.3600897789001465
 their,5.708244323730469
 king,15.193305015563965
 size,11.217376708984375
 bed,0.20952431857585907
.,0.45346134901046753
"
",1.0567175149917603
�,1.0239994525909424
�,0.10357307642698288
I,2.372913360595703
 feel,6.409230709075928
 exactly,12.320038795471191
 the,1.3992401361465454
 same,0.0235274750739336
 way,1.2211750745773315
 about,3.822592258453369
 you,0.17990772426128387
",",1.6457483768463135
 �,8.363734245300293
�,1.9389930963516235
 Jacob,5.861209392547607
 said,1.3743895292282104
 with,4.081005096435547
 tears,9.300044059753418
 in,1.0840860605239868
 his,0.082785464823246
 eyes,0.023951277136802673
.,0.24329720437526703
 ,1.5651028156280518
 ,3.109152317047119
 �,7.103346347808838
�,0.8937132954597473
 I,9.181199073791504
 never,7.223803520202637
 want,4.834437370300293
 to,0.5857413411140442
 let,5.89156436920166
 you,0.865074098110199
 go,4.099616050720215
.,1.3177772760391235
�,5.350057601928711
�,0.21817006170749664
 ,4.435448169708252
 ,2.1838736534118652
 He,2.777704954147339
 pulled,6.538283824920654
 her,0.807555615901947
 into,3.498901128768921
 a,2.3840887546539307
 hug,0.8311618566513062
 that,4.072236061096191
 made,4.056095123291016
 her,0.46641409397125244
 whole,9.900567054748535
 body,0.3917609751224518
 melt,6.439957141876221
 against,7.544848918914795
 him,1.7186572551727295
.,1.1756662130355835
 ,1.419598937034607
 She,3.8126144409179688
 had,5.877727031707764
 never,2.272167682647705
 felt,0.9584716558456421
 so,1.2442452907562256
 loved,4.151820659637451
 by,4.069729328155518
 anyone,2.336662530899048
 before,2.5632212162017822
 in,7.286986827850342
 her,0.3490106165409088
 life,0.23897506296634674
 and,3.7630932331085205
 she,2.368553400039673
