filename,tokens,mean_surprisal,median_surprisal,min_surprisal,max_surprisal,uid_variance,uid_pairwise,vocab_size,sentence_length
llama-2-7b-32k-instruct@q8_0_276.csv,156,3.337551334523223,2.564955949783325,0.0002983347512781,18.043569564819336,8.792864755245127,15.19693412590102,98,6.277777777777778
llama-2-7b-32k-instruct@q8_0_262.csv,16,5.138651780904183,5.120013236999512,0.0009039659635163,10.03579330444336,6.903188413072391,10.69692182105125,15,14.0
llama-2-7b-32k-instruct@q8_0_289.csv,62,4.899816520752445,3.6638134717941284,0.1208002418279647,18.063573837280273,17.554588679484365,35.06078834325156,40,5.625
llama-2-7b-32k-instruct@q8_0_100.csv,594,2.377108497336815,0.21000074595212936,8.100610284600407e-05,30.965242385864254,18.91618265962528,31.829890469498057,121,9.18
llama-2-7b-32k-instruct@q8_0_114.csv,812,2.549758635624197,0.8771666884422302,0.0001761209859978,24.43833351135254,12.482305093031329,20.445720673424304,188,8.393939393939394
llama-2-7b-32k-instruct@q8_0_128.csv,126,4.683449335261396,4.056245803833008,0.0005292876739986,17.237783432006836,15.375292676481038,28.46892997151294,84,9.5
llama-2-7b-32k-instruct@q8_0_10.csv,129,5.011707749909924,3.808279514312744,0.0003788415342569,22.70414161682129,21.419578346173466,40.4202705852585,77,18.6
llama-2-7b-32k-instruct@q8_0_38.csv,540,2.0715671783266805,0.2070103511214256,0.0001711328804958,27.53774070739746,11.108553959201254,14.852114828471949,122,10.047619047619047
llama-2-7b-32k-instruct@q8_0_3.csv,425,2.942712997943129,1.7250522375106812,0.0002406237908871,20.95479965209961,12.83620408460911,16.120229830607126,146,9.823529411764707
llama-2-7b-32k-instruct@q8_0_2.csv,286,3.483557835575726,2.6829850673675537,0.0003146765811834,15.083236694335938,9.124203447416372,18.088010192211556,154,18.384615384615383
llama-2-7b-32k-instruct@q8_0_39.csv,1023,3.000174707854261,2.192599058151245,0.0002129302301909,23.756366729736328,10.079271881415185,16.424314611738378,309,10.25974025974026
llama-2-7b-32k-instruct@q8_0_11.csv,82,4.281300693371322,3.595558524131775,0.000888908165507,13.925323486328123,9.63533759331768,18.977669944306864,63,13.0
llama-2-7b-32k-instruct@q8_0_129.csv,1023,3.3916844122262666,2.731424570083618,0.0001166089496109,19.40994453430176,8.830266556593132,16.89699632499924,337,11.594202898550725
llama-2-7b-32k-instruct@q8_0_115.csv,63,4.19330894131036,3.17360520362854,0.0301496945321559,19.06426429748535,14.422577496808838,33.27458858897213,39,5.0
llama-2-7b-32k-instruct@q8_0_101.csv,56,3.831908547261264,3.838157892227173,0.0042751957662403,9.471315383911133,7.795802628434948,17.99367806860782,45,12.25
llama-2-7b-32k-instruct@q8_0_288.csv,410,3.803475711323291,2.8207595348358154,0.0002206706121796,17.855270385742188,10.828629285909873,21.677755498970367,194,9.5
llama-2-7b-32k-instruct@q8_0_263.csv,525,3.182687909432432,2.407444953918457,0.0002916260564234,23.909143447875977,9.325197771877056,16.637045125768374,205,10.051282051282051
llama-2-7b-32k-instruct@q8_0_277.csv,643,3.511773856847658,3.0125508308410645,0.000244408060098,18.482627868652344,9.58180051248582,18.014082702287205,225,10.977272727272727
llama-2-7b-32k-instruct@q8_0_261.csv,1023,1.6119843825082623,0.0439581088721752,0.000218778513954,20.469173431396484,9.864844130202776,11.35817009778774,164,7.968085106382978
llama-2-7b-32k-instruct@q8_0_275.csv,843,3.7226134438694563,3.0466153621673584,0.0002463001874275,17.46421241760254,11.632689580491114,21.428909551432476,322,8.985294117647058
llama-2-7b-32k-instruct@q8_0_249.csv,98,4.022268338629035,3.2169300317764282,0.0005873542977496,15.871355056762695,10.188012081511141,20.285545298499972,71,7.222222222222222
llama-2-7b-32k-instruct@q8_0_117.csv,85,4.516449960683445,4.301534652709961,0.0009292634786106,12.037025451660156,8.678082414292776,19.936887349910073,72,12.5
llama-2-7b-32k-instruct@q8_0_103.csv,89,4.999980301073009,3.8727118968963623,0.0003760890685953,20.939226150512695,18.153177009514792,28.168707511035276,59,5.545454545454546
llama-2-7b-32k-instruct@q8_0_13.csv,86,5.052376634510015,4.657018423080444,0.0004840403853449,16.64334487915039,13.48296873679375,21.042961626642377,67,10.833333333333334
llama-2-7b-32k-instruct@q8_0_0.csv,142,3.359558454981979,2.960761070251465,0.0002807890123222,14.640317916870115,7.965481394156417,14.791936824569232,93,10.2
llama-2-7b-32k-instruct@q8_0_1.csv,23,5.287876952763485,4.707910060882568,0.0391669124364852,13.59112548828125,16.362935787621243,30.2363679277444,21,21.0
llama-2-7b-32k-instruct@q8_0_12.csv,68,3.9090840658172965,3.491835355758667,0.0165990106761455,13.661826133728027,9.416236265375714,20.46515187836964,54,14.75
llama-2-7b-32k-instruct@q8_0_102.csv,1023,0.752898310829972,0.0061033135280013,0.0001812811096897,19.818859100341797,4.161964250091976,4.790372843713635,123,15.24074074074074
llama-2-7b-32k-instruct@q8_0_116.csv,102,4.231366959589935,3.5505765676498413,0.0003176009340677,14.571316719055176,12.997474340526878,21.130119437591325,63,7.818181818181818
llama-2-7b-32k-instruct@q8_0_248.csv,151,3.820108795437163,2.571983337402344,7.034261943772435e-05,19.98066139221191,15.281112290291649,28.055642254119807,95,7.357142857142857
llama-2-7b-32k-instruct@q8_0_260.csv,150,2.997718297972703,1.0635069608688354,9.235763718606904e-05,18.384113311767575,14.843537613189929,22.77156073112571,64,6.4375
llama-2-7b-32k-instruct@q8_0_258.csv,122,4.819158700920048,3.7472704648971558,0.0003862387384288,19.834840774536133,18.23775465959565,30.093043676266667,70,9.166666666666666
llama-2-7b-32k-instruct@q8_0_264.csv,243,3.28164274619365,1.7838181257247925,0.0001410326658515,17.8700008392334,16.3763222901564,27.186037780418076,87,13.142857142857142
llama-2-7b-32k-instruct@q8_0_270.csv,64,4.922464794043208,4.249271631240845,0.0002991948567796,15.56877326965332,15.531841249858548,27.453793546689536,49,7.666666666666667
llama-2-7b-32k-instruct@q8_0_112.csv,320,3.411873747770005,2.856498956680298,0.0004584065754897,19.645130157470703,9.562752827790007,16.512917198612943,160,9.6
llama-2-7b-32k-instruct@q8_0_106.csv,116,4.474385568675894,3.531587243080139,0.0002416558563709,17.679649353027344,15.690594134817252,24.691588499656874,83,14.833333333333334
llama-2-7b-32k-instruct@q8_0_5.csv,232,3.7718386378456388,2.379542827606201,0.0002582550514489,24.458690643310547,18.726038406043507,28.136072857762514,105,9.777777777777779
llama-2-7b-32k-instruct@q8_0_16.csv,322,2.724613939189502,0.4915964305400848,0.000145848665852,33.00859832763672,23.22819964354224,44.70807299831273,83,6.314285714285714
llama-2-7b-32k-instruct@q8_0_17.csv,343,2.7474453153369374,1.9831980466842651,0.0002168864302802,14.123680114746094,7.75988209692004,15.77256223965024,155,22.0
llama-2-7b-32k-instruct@q8_0_4.csv,91,4.3809201621868175,3.71051025390625,0.0002501704439055,13.544458389282228,12.450999811001449,24.155695854562058,68,9.571428571428571
llama-2-7b-32k-instruct@q8_0_107.csv,249,2.9985923651734647,2.2040059566497803,0.0002158543793484,13.095269203186035,7.5528967373200295,14.812736078880066,137,9.842105263157896
llama-2-7b-32k-instruct@q8_0_113.csv,24,4.472004169040399,2.9666361808776855,0.0010468080872669,13.426824569702148,12.15824650445878,24.289654305628073,22,10.5
llama-2-7b-32k-instruct@q8_0_271.csv,199,3.8399192306966854,2.870758295059204,0.0003065916534978,14.50871467590332,10.920435233574837,21.55540768055905,110,4.923076923076923
llama-2-7b-32k-instruct@q8_0_265.csv,82,4.753028709709391,3.9501028060913086,0.0003169128322042,16.135839462280273,15.41533248276866,29.881010701812315,51,10.0
llama-2-7b-32k-instruct@q8_0_259.csv,1023,2.1003122376476053,0.4001538753509521,0.0002278950123582,29.888891220092773,10.434028092500773,14.867418501671303,206,8.285714285714286
llama-2-7b-32k-instruct@q8_0_273.csv,491,3.246796358574926,1.9492132663726809,8.186606282833964e-05,18.811443328857425,13.140463077258412,20.992389344400756,183,7.5625
llama-2-7b-32k-instruct@q8_0_267.csv,632,2.8740451481308704,1.8895789980888367,0.0001744009496178,17.899431228637695,10.0310810775338,16.004441256764988,217,8.528301886792454
llama-2-7b-32k-instruct@q8_0_298.csv,1023,0.6304687490676931,0.0063603315502405,0.0001413766731275,18.515647888183594,5.321427549469267,7.999486754912686,54,8.515151515151516
llama-2-7b-32k-instruct@q8_0_139.csv,515,2.673437295080834,0.6474901437759399,0.0002069099718937,37.4035530090332,25.433171882622823,52.05032340976793,126,5.892857142857143
llama-2-7b-32k-instruct@q8_0_105.csv,189,3.376222993197935,2.768109083175659,0.0002594591642264,12.76890754699707,6.918164606936069,14.116305401073285,103,13.727272727272727
llama-2-7b-32k-instruct@q8_0_111.csv,46,3.5887695223538447,3.315068244934082,0.0153559884056448,12.966127395629885,6.052826403569472,12.454762321293636,40,10.0
llama-2-7b-32k-instruct@q8_0_6.csv,622,3.4361438468986774,2.868178129196167,0.0001537606876809,17.22947120666504,8.496366334869203,16.08357682238803,252,10.46808510638298
llama-2-7b-32k-instruct@q8_0_29.csv,29,4.301369795819106,3.5999600887298584,0.0002351194416405,11.272449493408203,7.971697649608253,13.294050235974487,26,11.5
llama-2-7b-32k-instruct@q8_0_15.csv,313,4.713619449144558,3.764690637588501,0.0003595745365601,19.4525089263916,13.016767199150344,26.057925156684085,169,16.823529411764707
llama-2-7b-32k-instruct@q8_0_14.csv,81,4.517866275033247,3.413515567779541,0.0006045596674084,15.512516021728516,12.515335381967796,24.66485158913951,61,6.666666666666667
