filename,tokens,mean_surprisal,median_surprisal,min_surprisal,max_surprisal,uid_variance,uid_pairwise,vocab_size,sentence_length
llama-2-7b-chat@q8_0_27.csv,188,3.9089583962114625,3.094335913658142,3.4396940463921055e-05,17.200410842895508,11.932859379534428,21.03648906196449,112,19.75
llama-2-7b-chat@q8_0_33.csv,167,4.2540654442022126,3.1838340759277344,0.0011296803131699,23.925567626953125,15.025856024114672,31.489229379705094,118,24.0
llama-2-7b-chat@q8_0_181.csv,415,2.947121212434051,2.037315845489502,1.100693134503672e-05,16.819782257080078,8.842835504257145,17.180032019196233,218,21.4375
llama-2-7b-chat@q8_0_195.csv,207,3.516312029600202,2.0874855518341064,0.0007035805610939,24.68451881408691,14.453281980531449,27.551282725897224,120,21.5
llama-2-7b-chat@q8_0_142.csv,640,3.4702459050678955,2.5285727977752686,0.0006147109670564,24.511619567871097,11.827152204566996,23.938115189384146,284,23.857142857142858
llama-2-7b-chat@q8_0_156.csv,291,3.4156980335332783,2.6693193912506104,0.0009713409817777,17.97072410583496,10.817840877320254,17.764669978026248,171,23.9
llama-2-7b-chat@q8_0_234.csv,381,3.2611601406643356,2.4881582260131836,0.0001936654589371,21.103097915649418,11.249210939214437,23.209120707663573,189,21.933333333333334
llama-2-7b-chat@q8_0_220.csv,369,3.2664788152399753,2.513887405395508,0.00072732596891,19.431663513183594,9.3608382548181,20.209125170673556,203,26.5
llama-2-7b-chat@q8_0_208.csv,441,3.886989483777159,3.0055699348449707,0.000710979453288,22.024091720581055,12.948458646815899,25.15906746078253,208,22.857142857142858
llama-2-7b-chat@q8_0_209.csv,130,4.994091533759862,3.6975927352905273,4.5060158299747854e-05,22.80699157714844,20.932430425618385,40.04830135296047,107,13.4
llama-2-7b-chat@q8_0_221.csv,666,2.787399271289925,1.5110451579093933,0.0001484286622144,22.862380981445312,11.180051917873943,17.457169171502493,220,29.894736842105264
llama-2-7b-chat@q8_0_235.csv,399,3.3430611752438635,2.353516101837158,0.0001823131315177,20.52179718017578,10.396020782195817,19.768999463663995,209,21.0
llama-2-7b-chat@q8_0_157.csv,138,4.323692707809707,3.3919039964675903,0.0006920521846041,20.17019844055176,13.86734060600233,23.121521699867888,96,28.0
llama-2-7b-chat@q8_0_143.csv,294,4.274774577315888,3.425573468208313,0.0001498046622145,19.738292694091797,14.395413588260014,32.15904026160464,182,22.727272727272727
llama-2-7b-chat@q8_0_194.csv,230,3.45530286312822,2.491182565689087,0.0003294703783467,15.58201026916504,11.004498272791949,23.04780602932172,151,30.666666666666668
llama-2-7b-chat@q8_0_180.csv,271,3.72971075772976,2.8500208854675293,5.434753984445706e-05,17.35276222229004,10.914281688407225,21.44422532236849,174,14.933333333333334
llama-2-7b-chat@q8_0_32.csv,164,4.059617727684537,3.2521252632141113,2.9409333365038037e-05,22.4548282623291,13.546581834118802,26.28358899430335,113,20.666666666666668
llama-2-7b-chat@q8_0_26.csv,343,2.6670882036374763,2.04003643989563,1.1350899512763137e-05,18.10787010192871,6.581515981592426,13.54217202206124,165,17.25
llama-2-7b-chat@q8_0_30.csv,115,4.693407872707947,3.452024221420288,0.0061493418179452,19.60279655456543,18.76331427773045,30.773443181344344,79,24.0
llama-2-7b-chat@q8_0_24.csv,140,4.18050512391024,3.385809302330017,0.000126412793179,16.971393585205078,12.483406374116413,25.972100637406335,96,28.75
llama-2-7b-chat@q8_0_9.csv,325,3.29983651198496,2.433379650115967,0.0001688968477537,22.145177841186523,11.231137643402903,21.507532118532268,173,14.944444444444445
llama-2-7b-chat@q8_0_18.csv,120,4.236226309121897,3.2748461961746216,0.0180302988737821,14.540541648864746,12.136609330187916,24.16328306096931,82,20.8
llama-2-7b-chat@q8_0_196.csv,361,3.3535239250385307,2.3825671672821045,0.0001300247386097,23.24667739868164,10.448399002258013,23.039807225066017,177,22.307692307692307
llama-2-7b-chat@q8_0_182.csv,43,5.395157231957392,4.116705894470215,0.0003358352114446,19.376399993896484,28.218159404816873,62.75314847773722,40,16.5
llama-2-7b-chat@q8_0_155.csv,366,3.6195670608458137,2.745793342590332,0.0001496326585765,20.30830192565918,12.140017903980434,24.799294262573326,210,20.071428571428573
llama-2-7b-chat@q8_0_141.csv,177,3.4067724697149786,2.179553270339966,0.0013492326252162,23.46938133239746,12.252257264128039,24.041076929550027,109,24.166666666666668
llama-2-7b-chat@q8_0_169.csv,309,3.894062705484368,2.8306422233581543,0.0004773308173753,23.68332862854004,13.925838411239253,22.541467770176254,168,27.25
llama-2-7b-chat@q8_0_223.csv,474,3.9819704740221527,3.078196167945862,0.0001666608150117,19.826854705810547,12.536427381748684,26.437544135179014,237,22.166666666666668
llama-2-7b-chat@q8_0_237.csv,409,3.5296624880700973,2.4853644371032715,5.641141251544468e-05,18.34539031982422,10.797161460444267,22.800905766076912,216,20.875
llama-2-7b-chat@q8_0_236.csv,172,3.5978306250898493,2.677102565765381,0.0008029524469748,19.871686935424805,11.685232972057824,18.52470071370085,122,13.88888888888889
llama-2-7b-chat@q8_0_222.csv,157,4.060732778465779,2.903395414352417,0.0023597248364239,25.838119506835938,17.070854101301887,32.74044054715106,113,17.571428571428573
llama-2-7b-chat@q8_0_168.csv,151,3.7170616105979075,2.8194077014923096,0.0024064092431217,25.04814910888672,12.407893737376776,26.51856411495858,102,20.666666666666668
llama-2-7b-chat@q8_0_140.csv,366,3.930191216609462,2.992516279220581,1.8918103705800604e-06,26.046085357666016,15.381601665671539,30.54221431836557,210,29.2
llama-2-7b-chat@q8_0_154.csv,331,4.015211336450437,3.1755359172821045,0.0013117919443175,26.55363655090332,13.083334801753702,23.909116788466726,184,28.11111111111111
llama-2-7b-chat@q8_0_183.csv,589,2.7412617269049875,1.8212274312973025,0.0004134195332881,21.72393798828125,8.134245348948108,14.825638805250579,241,17.464285714285715
llama-2-7b-chat@q8_0_197.csv,216,3.7158173796019076,2.794306516647339,0.0009978443849831,15.861773490905762,11.574316461663726,23.823932332729473,135,20.0
llama-2-7b-chat@q8_0_19.csv,290,3.229331046932453,2.29231059551239,0.0001038812624756,19.978076934814453,9.767652284762262,19.776983964539255,177,18.23076923076923
llama-2-7b-chat@q8_0_8.csv,341,3.370957113571992,2.2998833656311035,0.0015712288441136,21.18189811706543,11.435196735066013,20.257692289740955,153,21.307692307692307
llama-2-7b-chat@q8_0_25.csv,371,3.376530878889646,2.5358242988586426,5.847422016813653e-06,20.032445907592773,10.97687576240596,20.86797036146777,183,26.454545454545453
llama-2-7b-chat@q8_0_31.csv,257,3.754709513257312,2.912576913833618,0.0004008612595498,28.97505760192871,13.053086044570838,24.700582336237865,170,23.333333333333332
llama-2-7b-chat@q8_0_35.csv,906,0.6801124525231206,0.00263804453425105,3.5084885894320905e-05,23.390535354614254,4.558873005190551,4.986559430661475,85,21.514285714285716
llama-2-7b-chat@q8_0_21.csv,332,3.3337558102474025,2.4216699600219727,0.0002979907148983,19.286792755126953,10.424579848889016,21.110893501265203,178,17.3125
llama-2-7b-chat@q8_0_193.csv,450,2.9469079158740925,2.324187159538269,4.127589363633888e-06,30.843280792236328,8.974199511071122,15.697129959169366,223,21.77777777777778
llama-2-7b-chat@q8_0_187.csv,640,3.1155408709165386,2.40819776058197,0.0007118398207239,21.661243438720703,8.549958293365943,17.437620455642325,278,22.666666666666668
llama-2-7b-chat@q8_0_178.csv,204,4.042119275788234,2.9536482095718384,0.0012334707425907,23.02655982971191,13.62052890640655,30.559641860522408,132,22.25
llama-2-7b-chat@q8_0_150.csv,376,2.950346689447581,1.4776352643966675,0.0002402797690592,27.093242645263672,13.694572335111461,22.793974358950102,166,17.428571428571427
llama-2-7b-chat@q8_0_144.csv,369,3.4796047707761546,2.6544852256774902,0.0011504205176606,16.719890594482422,9.339612728474306,19.20990124879876,181,24.923076923076923
llama-2-7b-chat@q8_0_226.csv,398,2.9226540318315677,2.279825210571289,5.262765262159519e-05,23.67207908630371,8.587971875215462,17.268354806079415,190,22.266666666666666
llama-2-7b-chat@q8_0_232.csv,127,3.5079860857607224,2.206636428833008,0.004981986247003,20.65198135375977,13.621818747746035,25.205799830059874,96,19.166666666666668
llama-2-7b-chat@q8_0_233.csv,292,3.431260398933935,2.4841911792755127,0.0009777086088433,17.58694076538086,9.686134068270501,18.941838747438698,171,23.454545454545453
llama-2-7b-chat@q8_0_227.csv,338,3.7410682030678273,2.831588625907898,0.000360950740287,24.367719650268555,13.194404292176058,27.626146513290813,193,26.9
llama-2-7b-chat@q8_0_145.csv,558,2.720129202822696,1.6778836250305176,6.363371994666522e-06,21.018449783325195,9.48560971773936,17.806800170618146,226,21.181818181818183
llama-2-7b-chat@q8_0_151.csv,262,3.6613641346796975,2.6784160137176514,2.579742158559384e-06,18.236705780029297,12.6219373812934,27.621584647474723,158,30.285714285714285
llama-2-7b-chat@q8_0_179.csv,240,1.9629405192320368,0.2100331112742424,4.162040204391815e-05,27.736114501953125,13.356743033411192,16.348155635124122,64,36.6
llama-2-7b-chat@q8_0_186.csv,578,3.8438862811032424,2.6850473880767822,0.0012382904533296,21.91925048828125,14.525590324408265,29.698927148620825,264,19.26086956521739
llama-2-7b-chat@q8_0_192.csv,527,3.63816272749577,2.676492691040039,0.0003198371850885,17.359819412231445,11.108919356415392,22.941749839483954,283,18.347826086956523
llama-2-7b-chat@q8_0_20.csv,179,3.3400732172453416,1.945816993713379,0.0006105815991759,26.515745162963867,17.855944215088527,27.959133409631097,88,28.2
llama-2-7b-chat@q8_0_34.csv,281,3.308845430386362,2.4176487922668457,0.0001202208804897,27.34671211242676,11.97689842801775,21.717718440997952,162,18.636363636363637
llama-2-7b-chat@q8_0_22.csv,131,3.6150153675592036,2.9168944358825684,0.0005263629136607,13.823369026184082,9.69808951277363,17.506569406004697,95,18.166666666666668
llama-2-7b-chat@q8_0_36.csv,655,4.006462043196771,2.990215539932251,1.8574246496427804e-05,20.927230834960938,13.848480105039293,27.30079734255034,314,21.708333333333332
llama-2-7b-chat@q8_0_184.csv,349,3.1086279710799736,2.3199894428253174,1.7198266277773658e-07,32.7259521484375,11.090988356818968,20.38076725664367,173,22.583333333333332
llama-2-7b-chat@q8_0_190.csv,315,3.7679487190881953,2.833662271499634,0.0009716851636767,17.720788955688477,12.553844651279496,20.673961732321146,173,17.0
llama-2-7b-chat@q8_0_147.csv,257,3.5804199325263903,2.5831775665283203,0.0003876149712596,37.07243728637695,14.87518478060656,30.270392937737483,135,23.333333333333332
