filename,tokens,mean_surprisal,median_surprisal,min_surprisal,max_surprisal,uid_variance,uid_pairwise,vocab_size,sentence_length
mistral-7b-instruct-v0.1@q8_0_0.csv,25,5.578245296478271,5.125379085540772,0.318913996219635,15.723834991455078,13.098014174760953,31.320768851559254,22,23.0
mistral-7b-instruct-v0.1@q8_0_1.csv,8,4.7009217999875546,4.600193500518799,0.3164741694927215,11.275711059570312,8.500293309320266,11.983361352907822,8,7.0
mistral-7b-instruct-v0.1@q8_0_10.csv,49,4.3123303556016515,2.494441032409668,0.0481393933296203,14.1858549118042,16.147505284470313,26.49424965120456,43,15.0
mistral-7b-instruct-v0.1@q8_0_100.csv,160,4.141665118398668,3.768823266029358,0.0002340873761568,17.4217586517334,9.849532269996033,17.682416284260576,109,14.88888888888889
mistral-7b-instruct-v0.1@q8_0_101.csv,20,6.1319072365760805,4.440498113632202,0.4884033203125,15.693023681640623,19.272606556478532,56.73451593223825,19,9.0
mistral-7b-instruct-v0.1@q8_0_102.csv,104,3.959213374818389,3.0090144872665405,0.0069141639396548,17.414134979248047,11.90177329696106,28.497266457781883,80,12.285714285714286
mistral-7b-instruct-v0.1@q8_0_103.csv,51,4.641647936484101,4.268612384796143,0.0273241009563207,15.13720989227295,11.425285572907605,28.23961948041243,40,15.0
mistral-7b-instruct-v0.1@q8_0_104.csv,51,3.6022561487705245,2.720008850097656,0.0065932073630392,10.826142311096191,7.158679439021272,13.015650513228982,45,9.0
mistral-7b-instruct-v0.1@q8_0_105.csv,32,4.319688229355961,3.427928924560547,0.2042006999254226,12.666715621948242,9.54174161061286,20.85565966208029,30,9.0
mistral-7b-instruct-v0.1@q8_0_106.csv,40,4.4110303245484825,4.029574275016785,0.080934926867485,14.323722839355469,9.682783984508816,22.72890503102148,37,18.5
mistral-7b-instruct-v0.1@q8_0_107.csv,5,5.3545461893081665,3.222227096557617,1.0846587419509888,12.81307601928711,19.546420877115416,37.94005845516608,5,3.0
mistral-7b-instruct-v0.1@q8_0_108.csv,28,4.814868077635765,4.148437261581421,0.5561085939407349,20.67613410949707,16.72896009903661,39.731403741928894,26,21.0
mistral-7b-instruct-v0.1@q8_0_109.csv,49,4.886612515241426,3.171276807785034,0.000339619728038,16.157140731811523,19.669248574559035,43.01918902209426,41,8.5
mistral-7b-instruct-v0.1@q8_0_11.csv,13,6.33746409874696,6.229152679443359,0.9174507260322572,12.028018951416016,8.579484326125241,16.760266851074874,13,11.0
mistral-7b-instruct-v0.1@q8_0_110.csv,21,3.204735069757416,2.129652500152588,0.2235745936632156,11.40263557434082,9.325044477796617,19.095384431242785,21,9.0
mistral-7b-instruct-v0.1@q8_0_111.csv,53,3.9568100582878545,3.522080898284912,0.2885736227035522,11.367258071899414,8.251920305171973,15.739435344694025,46,25.0
mistral-7b-instruct-v0.1@q8_0_112.csv,18,5.075252566072676,5.168903589248657,0.3855743408203125,10.145207405090332,9.793375749657155,24.44669849736565,17,8.0
mistral-7b-instruct-v0.1@q8_0_113.csv,24,3.8078298841913543,2.635891079902649,0.1237619519233703,13.02537727355957,12.772396886798994,18.058009330799706,22,7.0
mistral-7b-instruct-v0.1@q8_0_114.csv,166,3.9597276662722165,3.295740008354187,0.0004384503990877,15.30681610107422,9.175423486286373,21.715160274097123,104,9.071428571428571
mistral-7b-instruct-v0.1@q8_0_115.csv,18,4.457584477133221,2.7680351734161377,0.7824764847755432,12.039278984069824,12.221009554409138,26.75887042745851,18,8.0
mistral-7b-instruct-v0.1@q8_0_116.csv,12,3.6134788480897746,2.3115334510803223,0.1577271670103073,14.01374053955078,13.207795516116315,26.732541790777873,12,5.0
mistral-7b-instruct-v0.1@q8_0_117.csv,24,4.192239082728823,3.451348900794983,0.0743360072374343,12.966127395629885,11.144839052386201,25.113687110936983,23,6.666666666666667
mistral-7b-instruct-v0.1@q8_0_118.csv,25,4.870180767267011,4.732565402984619,0.0017926566069945,12.068326950073242,12.728229694111771,18.7684474714783,24,6.333333333333333
mistral-7b-instruct-v0.1@q8_0_119.csv,18,5.039866573280758,5.871060132980347,0.630836009979248,14.50871467590332,11.78932598160202,26.467945214040444,17,15.0
mistral-7b-instruct-v0.1@q8_0_12.csv,35,3.0426386193397255,3.1552276611328125,0.0003724764974322,7.896677017211914,4.626468948350062,4.9611022093924,33,9.666666666666666
mistral-7b-instruct-v0.1@q8_0_120.csv,69,4.634217433941861,3.796315908432007,0.0003454685211181,18.735370635986328,16.06018635212967,25.354673876608306,54,8.0
mistral-7b-instruct-v0.1@q8_0_121.csv,129,3.676296059823168,3.019665241241455,0.0002273789868922,15.246747970581056,9.129852159403828,17.264950299009463,89,15.142857142857142
mistral-7b-instruct-v0.1@q8_0_122.csv,22,4.1529641422358425,3.1554542779922485,0.1577271670103073,14.01374053955078,12.010149945153932,28.265656584011335,19,5.0
mistral-7b-instruct-v0.1@q8_0_123.csv,91,4.2469384152631555,3.3385932445526123,0.0003167408285662,14.238446235656738,10.056275558573065,19.785029804572115,65,11.5
mistral-7b-instruct-v0.1@q8_0_124.csv,32,4.550110475393012,3.767764687538147,0.0155651122331619,10.778100967407228,9.077962289547308,14.391446982799058,30,6.0
mistral-7b-instruct-v0.1@q8_0_125.csv,35,4.191840943268367,4.349582672119141,0.4021430611610412,11.988032341003418,6.730846565157822,13.869232744330889,30,9.333333333333334
mistral-7b-instruct-v0.1@q8_0_126.csv,134,3.5967669424198223,2.5140483379364014,0.0002854334306903,15.996711730957031,13.344300842138264,21.888096136236673,72,7.6923076923076925
mistral-7b-instruct-v0.1@q8_0_127.csv,72,4.201992018739677,3.747557759284973,0.0003791855706367,15.052217483520508,11.309193329951931,24.642020516075696,57,8.428571428571429
mistral-7b-instruct-v0.1@q8_0_128.csv,73,3.9308125459117025,3.186292886734009,0.0019701160490512,14.477956771850586,11.375670727360639,25.640298935400192,59,11.2
mistral-7b-instruct-v0.1@q8_0_129.csv,135,3.632250529970258,2.563725709915161,0.0004793952975887,14.785797119140623,9.997601345048453,21.03970000521277,93,18.333333333333332
mistral-7b-instruct-v0.1@q8_0_13.csv,17,4.089092280934839,3.819009065628052,0.1669690310955047,10.748051643371582,5.558724720094387,12.135922692711027,17,16.0
mistral-7b-instruct-v0.1@q8_0_130.csv,160,3.810998455110712,3.397849202156067,0.0003124403010588,24.017696380615234,11.404851211236046,23.840804354942293,91,12.9
mistral-7b-instruct-v0.1@q8_0_131.csv,58,3.9174581774799475,3.2525850534439087,0.00028130505234,12.674805641174316,9.901031182707335,21.164150325331118,47,9.6
mistral-7b-instruct-v0.1@q8_0_132.csv,36,5.213790991426827,4.397024631500244,0.0002616953279357,18.870086669921875,21.085486121749987,44.615240587733965,28,7.666666666666667
mistral-7b-instruct-v0.1@q8_0_133.csv,17,4.46917271767469,2.5276846885681152,0.0417585633695125,12.437647819519045,17.922437432778747,39.24469641808274,16,14.0
mistral-7b-instruct-v0.1@q8_0_134.csv,72,3.749688550788657,3.308583378791809,0.0002608352806419,11.871119499206545,8.914640438167618,16.985342241743165,50,7.142857142857143
mistral-7b-instruct-v0.1@q8_0_135.csv,29,4.456681801431716,2.716543674468994,0.0016347609926015,15.6137113571167,19.74805395046458,40.31074491891464,27,10.5
mistral-7b-instruct-v0.1@q8_0_136.csv,15,5.291005607446035,3.4640114307403564,0.6970508694648743,13.652929306030272,18.993931368696607,52.570504719888454,13,5.5
mistral-7b-instruct-v0.1@q8_0_137.csv,130,3.913209746325335,2.9014079570770264,0.0001362166949547,18.05231475830078,12.493920939809295,24.710391922991622,78,8.9
mistral-7b-instruct-v0.1@q8_0_138.csv,200,4.383029165496119,3.470395803451538,0.0004187525191809,17.125444412231445,12.672432327481596,26.27655268167565,131,12.214285714285714
mistral-7b-instruct-v0.1@q8_0_139.csv,88,4.0408606252405495,3.5297796726226807,0.0002539547276683,13.001444816589355,9.46934670733065,15.687030299474882,62,9.571428571428571
mistral-7b-instruct-v0.1@q8_0_14.csv,17,5.387940662748673,5.096004962921143,0.6262145638465881,12.840962409973145,11.012582270619275,23.62446575734454,17,16.0
mistral-7b-instruct-v0.1@q8_0_140.csv,54,4.4617377604461375,2.7999367713928223,0.0467961616814136,15.214003562927246,16.717123009276374,37.817081988321036,42,11.25
