filename,tokens,mean_surprisal,median_surprisal,min_surprisal,max_surprisal,uid_variance,uid_pairwise,vocab_size,sentence_length
mistral-7b-instruct-v0.1@q8_0_108.csv,403,4.203680894424184,3.033360481262207,0.0002909379836637,18.717639923095703,19.380409405020544,43.677626777240164,127,7.888888888888889
mistral-7b-instruct-v0.1@q8_0_120.csv,906,3.4280404573983505,2.550828456878662,0.0002060499245999,25.659818649291992,11.190628653915972,22.676415318191083,329,12.403508771929825
mistral-7b-instruct-v0.1@q8_0_134.csv,111,4.850450160615314,4.307796955108643,0.0068177399225533,23.022327423095703,14.143439979365038,29.289509947671434,81,9.333333333333334
mistral-7b-instruct-v0.1@q8_0_96.csv,611,3.0929709582793867,2.302781820297241,0.0002002016990445,21.966108322143555,7.864205779926351,14.621508421988285,208,13.657142857142857
mistral-7b-instruct-v0.1@q8_0_256.csv,336,3.6789263405452797,3.1308515071868896,1.4446614841290284e-05,19.852113723754883,9.983654460603198,21.00842769501726,175,17.0
mistral-7b-instruct-v0.1@q8_0_242.csv,99,4.927036344981517,4.671159744262695,0.0026878393255174,15.447958946228027,11.717074158985392,19.21583414986091,80,9.625
mistral-7b-instruct-v0.1@q8_0_82.csv,1023,4.253966034928966,3.0574967861175537,0.0002055339136859,34.38010787963867,20.070499392844315,44.10123936961567,363,12.557377049180328
mistral-7b-instruct-v0.1@q8_0_69.csv,567,3.220640345555089,2.1319711208343506,6.862270674901083e-05,16.31875228881836,9.742392977917639,20.7407852573604,274,10.365853658536585
mistral-7b-instruct-v0.1@q8_0_55.csv,153,3.5772549194310224,2.8387417793273926,0.000241311834543,16.501665115356445,9.769318955316972,19.083871227252313,97,21.333333333333332
mistral-7b-instruct-v0.1@q8_0_295.csv,518,3.306833369659181,2.449629306793213,9.166966628981754e-05,16.99810218811035,9.943486448019364,18.18697112462845,212,9.975609756097562
mistral-7b-instruct-v0.1@q8_0_281.csv,452,3.2499431510525705,2.340130567550659,0.0007139046210795,20.474292755126953,11.88182490060986,22.450659962819227,163,9.06060606060606
mistral-7b-instruct-v0.1@q8_0_41.csv,747,3.2488787200903366,2.428879976272583,0.0001769810041878,32.07271957397461,13.11093293974308,27.145576107792856,278,11.018867924528301
mistral-7b-instruct-v0.1@q8_0_280.csv,425,3.6482842641276556,2.8103930950164795,0.000205189891858,24.39367294311523,11.21866148933512,20.11438884948908,191,15.434782608695652
mistral-7b-instruct-v0.1@q8_0_40.csv,907,3.5331748020914038,2.527247428894043,4.144841295783408e-05,18.661943435668945,10.116229464536646,21.087152513089205,338,19.41025641025641
mistral-7b-instruct-v0.1@q8_0_54.csv,361,3.330111928354388,2.4518635272979736,0.0002701240300666,24.54722785949707,9.16800674425749,19.19967631707634,159,17.705882352941178
mistral-7b-instruct-v0.1@q8_0_294.csv,262,4.581796121776446,3.58976674079895,0.0415684431791305,18.21574592590332,16.12712753549455,34.75875654288011,113,176.0
mistral-7b-instruct-v0.1@q8_0_68.csv,918,3.3270666372139686,2.565459728240967,0.000131744731334,23.97292137145996,8.72094128653823,18.214049038506648,359,19.21951219512195
mistral-7b-instruct-v0.1@q8_0_243.csv,49,4.286806520758843,3.8293840885162354,0.4655210077762604,11.41797924041748,6.233959896259799,10.575969981090882,36,8.4
mistral-7b-instruct-v0.1@q8_0_83.csv,250,3.6935234741917813,3.1055996417999268,0.0004030976560898,17.055572509765625,10.509850983656506,19.902567207454197,120,10.294117647058824
mistral-7b-instruct-v0.1@q8_0_97.csv,388,3.483038526322771,2.6018598079681396,0.0002155103575205,14.50790023803711,9.185724572860405,19.897057593670766,199,17.31578947368421
mistral-7b-instruct-v0.1@q8_0_257.csv,596,3.4267337292834865,2.7233340740203857,0.0003131284029223,15.853375434875488,8.57558477285867,17.07277302662255,243,13.222222222222221
mistral-7b-instruct-v0.1@q8_0_135.csv,161,3.9938498990616025,2.9977569580078125,0.0043416931293904,17.65959358215332,12.57484280326839,17.951946848879558,95,11.2
mistral-7b-instruct-v0.1@q8_0_121.csv,105,4.028091042475509,3.389986276626587,0.0010435380972921,23.403905868530273,12.988740456235954,20.91811772228075,75,7.363636363636363
mistral-7b-instruct-v0.1@q8_0_109.csv,509,3.5016191674023935,2.6746864318847656,0.0004649440234061,25.766984939575195,10.699847592835459,21.457931523320045,236,10.526315789473685
mistral-7b-instruct-v0.1@q8_0_137.csv,316,3.717724975229545,3.0939714908599854,0.0004113551403861,26.981903076171875,9.976489808357712,16.996864182853397,162,6.323529411764706
mistral-7b-instruct-v0.1@q8_0_123.csv,152,4.06150054167129,3.419859290122986,0.0020762060303241,15.996196746826172,12.191002886893859,23.00994508717549,88,10.1
mistral-7b-instruct-v0.1@q8_0_269.csv,677,3.1821671810036816,2.4279589653015137,6.363371994666522e-06,16.29453468322754,7.668344906207751,16.488697393609232,233,15.8
mistral-7b-instruct-v0.1@q8_0_81.csv,229,3.82163057284235,3.0259110927581787,0.0002775207103695,14.69057846069336,9.215546671720523,17.91056585770932,133,12.466666666666667
mistral-7b-instruct-v0.1@q8_0_241.csv,439,3.3681739654986362,2.47929310798645,3.4912900446215644e-05,14.989538192749023,9.923520674591698,19.807106136991113,192,18.526315789473685
mistral-7b-instruct-v0.1@q8_0_255.csv,681,3.5238116677845697,2.650277614593506,0.0003028072242159,19.407711029052734,9.331829549080247,20.79061515274611,293,30.31578947368421
mistral-7b-instruct-v0.1@q8_0_95.csv,1023,2.8196523471936152,2.0998077392578125,3.147316965623759e-05,19.56846809387207,7.068344649159646,13.757394543327662,339,9.493975903614459
mistral-7b-instruct-v0.1@q8_0_42.csv,463,3.2137632656410124,2.373623847961426,0.0003329108294565,23.318649291992188,9.214240849767801,16.962252417125534,185,14.0
mistral-7b-instruct-v0.1@q8_0_282.csv,648,3.151079881604369,2.4057586193084717,9.287361899623647e-05,23.179471969604492,8.26418892942644,15.767389043076461,279,12.142857142857142
